,TNBC1,TNBC2,TNBC3,Normal1,Normal2,Normal3
ENSG00000205426,23030,65,9745,22,6392,2147
ENSG00000206435,34344,88632,13116,3183,4192,23812
ENSG00000215328,57680,26026,8365,15008,805,8822
ENSG00000221983,6826,7423,17576,9532,21474,19410
ENSG00000223367,17646,21050,75887,18198,55232,97909
ENSG00000224320,30321,74348,21442,5610,12069,35052
ENSG00000225201,12388,15242,4012,2182,2012,9369
ENSG00000227816,11833,15780,1337,479,3341,7457
ENSG00000228080,11141,13585,418,426,501,8459
ENSG00000228964,46703,133021,37518,4656,14232,52651
ENSG00000229684,33733,40828,34119,50435,67465,29454
ENSG00000242265,31,413,27733,3570,2885,12306
ENSG00000254772,7325,14459,23100,14182,9616,61481
ENSG00000260518,45606,150533,7280,1781,9173,7891
ENSG00000271968,44030,163833,9409,1877,8902,12080
ENSG00000272398,79330,33354,24408,26525,13638,19513
